Feature,Coefficient
MACD,0.1079515357350974
SMA_ratio,0.03936897380120115
return_lag_5,0.005938364044525024
RSI_14,0.0006666420206745733
rolling_std_5,-0.015047040673164048
rolling_std_10,-0.017679634170175408
return_lag_3,-0.027526434816210123
close,-0.029452646177148895
rolling_mean_10,-0.0894434821753673
rolling_mean_5,-0.13518835948142088
return_lag_1,-0.1508776797903824
high_low_range,-0.18946781308965924
return_lag_2,-0.19053396942543344
simple_return,-0.23291891158766384
open_close_range,-0.27628438203675915
momentum_3,-0.5753237527207167
momentum_5,-0.6746197082444139
momentum_10,-0.8822608467485468
